-------------------
|tahun| pendapatan
|1990 | 471.6210
|1991 | 756.0085
|1992 | 1211.8816
|1993 | 1942.6462
|1994 | 3114.0618
|1995 | 4991.8410
|1996 | 8001.9212
|1997 | 12827.0796
|1998 | 20561.8087
|1999 | 32960.5793
|2000 | 52835.8086
|2001 | 84695.8012
|2002 | 135767.3693
|2003 | 217635.0930
|2004 | 348869.0541
|2005 | 559237.0938
|2006 | 896457.0613
|2007 | 1437020.6693
|2008 | 2303544.1329
|2009 | 3692581.2450
|2010 | 5919207.7357
|2011 | 9488490.0004
|2012 | 15210049.4706
|2013 | 24381709.3014
|2014 | 39083880.0102
|2015 | 62651459.6563
|2016 | 100430289.8291
|2017 | 160989754.5960
|2018 | 258066576.6174
|2019 | 413680722.3177
|2020 | 663130197.8752
|2021 | 1062997707.1939
